set,best_accuracy_experiment,best_mAP50-95,fastest_experiment,fastest_end_to_end_fps
examples_photos,N/A,,m960_i640,11.542999160912508
test,m960_i640,0.8683068755600745,m960_i640,14.355393720450431
test_0.5,m960_i640,0.8457971663507408,m960_i640,15.99979141012272
test_0.25,m640_i640,0.8428048458769423,m640_i640,15.408496974531282
